Frecuencia (MHz)	DSP (Lineal)
-6.1440	0.000000
-6.1245	0.000001
-6.1050	0.000003
-6.0855	0.000003
-6.0660	0.000009
-6.0465	0.000011
-6.0270	0.000016
-6.0075	0.000047
-5.9880	0.000040
-5.9685	0.000020
-5.9490	0.000034
-5.9294	0.000023
-5.9099	0.000078
-5.8904	0.000152
-5.8709	0.000070
-5.8514	0.000024
-5.8319	0.000038
-5.8124	0.000026
-5.7929	0.000175
-5.7734	0.000218
-5.7539	0.000039
-5.7344	0.000031
-5.7149	0.000030
-5.6954	0.000034
-5.6759	0.000231
-5.6564	0.000164
-5.6369	0.000001
-5.6174	0.000090
-5.5979	0.000036
-5.5784	0.000043
-5.5589	0.000188
-5.5394	0.000049
-5.5198	0.000049
-5.5003	0.000189
-5.4808	0.000043
-5.4613	0.000036
-5.4418	0.000091
-5.4223	0.000001
-5.4028	0.000168
-5.3833	0.000237
-5.3638	0.000035
-5.3443	0.000031
-5.3248	0.000032
-5.3053	0.000041
-5.2858	0.000227
-5.2663	0.000183
-5.2468	0.000027
-5.2273	0.000039
-5.2078	0.000025
-5.1883	0.000074
-5.1688	0.000161
-5.1493	0.000083
-5.1298	0.000025
-5.1102	0.000037
-5.0907	0.000022
-5.0712	0.000043
-5.0517	0.000051
-5.0322	0.000018
-5.0127	0.000012
-4.9932	0.000010
-4.9737	0.000004
-4.9542	0.000003
-4.9347	0.000001
-4.9152	0.000000
-4.8957	0.000001
-4.8762	0.000003
-4.8567	0.000004
-4.8372	0.000011
-4.8177	0.000012
-4.7982	0.000018
-4.7787	0.000053
-4.7592	0.000046
-4.7397	0.000023
-4.7202	0.000039
-4.7006	0.000027
-4.6811	0.000090
-4.6616	0.000175
-4.6421	0.000081
-4.6226	0.000028
-4.6031	0.000044
-4.5836	0.000030
-4.5641	0.000205
-4.5446	0.000257
-4.5251	0.000046
-4.5056	0.000036
-4.4861	0.000036
-4.4666	0.000041
-4.4471	0.000277
-4.4276	0.000197
-4.4081	0.000001
-4.3886	0.000109
-4.3691	0.000043
-4.3496	0.000052
-4.3301	0.000230
-4.3106	0.000060
-4.2910	0.000061
-4.2715	0.000234
-4.2520	0.000053
-4.2325	0.000045
-4.2130	0.000114
-4.1935	0.000001
-4.1740	0.000211
-4.1545	0.000299
-4.1350	0.000045
-4.1155	0.000039
-4.0960	0.000040
-4.0765	0.000052
-4.0570	0.000292
-4.0375	0.000236
-4.0180	0.000035
-3.9985	0.000051
-3.9790	0.000033
-3.9595	0.000096
-3.9400	0.000212
-3.9205	0.000110
-3.9010	0.000033
-3.8814	0.000049
-3.8619	0.000029
-3.8424	0.000058
-3.8229	0.000068
-3.8034	0.000024
-3.7839	0.000016
-3.7644	0.000014
-3.7449	0.000005
-3.7254	0.000004
-3.7059	0.000001
-3.6864	0.000000
-3.6669	0.000001
-3.6474	0.000004
-3.6279	0.000005
-3.6084	0.000015
-3.5889	0.000017
-3.5694	0.000026
-3.5499	0.000076
-3.5304	0.000065
-3.5109	0.000033
-3.4914	0.000057
-3.4718	0.000039
-3.4523	0.000131
-3.4328	0.000256
-3.4133	0.000118
-3.3938	0.000041
-3.3743	0.000065
-3.3548	0.000044
-3.3353	0.000306
-3.3158	0.000385
-3.2963	0.000070
-3.2768	0.000055
-3.2573	0.000054
-3.2378	0.000063
-3.2183	0.000425
-3.1988	0.000304
-3.1793	0.000002
-3.1598	0.000169
-3.1403	0.000068
-3.1208	0.000081
-3.1013	0.000363
-3.0818	0.000096
-3.0622	0.000097
-3.0427	0.000374
-3.0232	0.000085
-3.0037	0.000072
-2.9842	0.000185
-2.9647	0.000002
-2.9452	0.000346
-2.9257	0.000493
-2.9062	0.000074
-2.8867	0.000065
-2.8672	0.000068
-2.8477	0.000088
-2.8282	0.000494
-2.8087	0.000401
-2.7892	0.000059
-2.7697	0.000088
-2.7502	0.000057
-2.7307	0.000168
-2.7112	0.000371
-2.6917	0.000193
-2.6722	0.000058
-2.6526	0.000087
-2.6331	0.000052
-2.6136	0.000104
-2.5941	0.000124
-2.5746	0.000044
-2.5551	0.000029
-2.5356	0.000026
-2.5161	0.000010
-2.4966	0.000008
-2.4771	0.000002
-2.4576	0.000000
-2.4381	0.000002
-2.4186	0.000009
-2.3991	0.000010
-2.3796	0.000029
-2.3601	0.000034
-2.3406	0.000051
-2.3211	0.000150
-2.3016	0.000130
-2.2821	0.000066
-2.2626	0.000115
-2.2430	0.000079
-2.2235	0.000269
-2.2040	0.000531
-2.1845	0.000247
-2.1650	0.000087
-2.1455	0.000137
-2.1260	0.000095
-2.1065	0.000660
-2.0870	0.000837
-2.0675	0.000153
-2.0480	0.000121
-2.0285	0.000120
-2.0090	0.000141
-1.9895	0.000962
-1.9700	0.000694
-1.9505	0.000004
-1.9310	0.000394
-1.9115	0.000159
-1.8920	0.000192
-1.8725	0.000868
-1.8530	0.000231
-1.8334	0.000236
-1.8139	0.000920
-1.7944	0.000212
-1.7749	0.000182
-1.7554	0.000470
-1.7359	0.000005
-1.7164	0.000896
-1.6969	0.001291
-1.6774	0.000197
-1.6579	0.000175
-1.6384	0.000183
-1.6189	0.000241
-1.5994	0.001369
-1.5799	0.001124
-1.5604	0.000169
-1.5409	0.000253
-1.5214	0.000167
-1.5019	0.000494
-1.4824	0.001106
-1.4629	0.000584
-1.4434	0.000179
-1.4238	0.000271
-1.4043	0.000162
-1.3848	0.000333
-1.3653	0.000401
-1.3458	0.000144
-1.3263	0.000098
-1.3068	0.000088
-1.2873	0.000033
-1.2678	0.000029
-1.2483	0.000008
-1.2288	0.000000
-1.2093	0.000008
-1.1898	0.000032
-1.1703	0.000039
-1.1508	0.000112
-1.1313	0.000134
-1.1118	0.000208
-1.0923	0.000617
-1.0728	0.000546
-1.0533	0.000283
-1.0338	0.000503
-1.0142	0.000354
-0.9947	0.001232
-0.9752	0.002486
-0.9557	0.001185
-0.9362	0.000427
-0.9167	0.000692
-0.8972	0.000492
-0.8777	0.003508
-0.8582	0.004568
-0.8387	0.000860
-0.8192	0.000699
-0.7997	0.000718
-0.7802	0.000866
-0.7607	0.006110
-0.7412	0.004559
-0.7217	0.000025
-0.7022	0.002774
-0.6827	0.001159
-0.6632	0.001462
-0.6437	0.006863
-0.6242	0.001905
-0.6046	0.002029
-0.5851	0.008291
-0.5656	0.002004
-0.5461	0.001804
-0.5266	0.004908
-0.5071	0.000050
-0.4876	0.010461
-0.4681	0.016008
-0.4486	0.002595
-0.4291	0.002468
-0.4096	0.002767
-0.3901	0.003928
-0.3706	0.024178
-0.3511	0.021617
-0.3316	0.003546
-0.3121	0.005878
-0.2926	0.004298
-0.2731	0.014248
-0.2536	0.036074
-0.2341	0.021809
-0.2146	0.007749
-0.1950	0.013818
-0.1755	0.009965
-0.1560	0.025176
-0.1365	0.038499
-0.1170	0.018253
-0.0975	0.017522
-0.0780	0.023730
-0.0585	0.015303
-0.0390	0.029094
-0.0195	0.030258
0.0000	0.000252
0.0195	0.030258
0.0390	0.029094
0.0585	0.015303
0.0780	0.023730
0.0975	0.017522
0.1170	0.018253
0.1365	0.038499
0.1560	0.025176
0.1755	0.009965
0.1950	0.013818
0.2146	0.007749
0.2341	0.021809
0.2536	0.036074
0.2731	0.014248
0.2926	0.004298
0.3121	0.005878
0.3316	0.003546
0.3511	0.021617
0.3706	0.024178
0.3901	0.003928
0.4096	0.002767
0.4291	0.002468
0.4486	0.002595
0.4681	0.016008
0.4876	0.010461
0.5071	0.000050
0.5266	0.004908
0.5461	0.001804
0.5656	0.002004
0.5851	0.008291
0.6046	0.002029
0.6242	0.001905
0.6437	0.006863
0.6632	0.001462
0.6827	0.001159
0.7022	0.002774
0.7217	0.000025
0.7412	0.004559
0.7607	0.006110
0.7802	0.000866
0.7997	0.000718
0.8192	0.000699
0.8387	0.000860
0.8582	0.004568
0.8777	0.003508
0.8972	0.000492
0.9167	0.000692
0.9362	0.000427
0.9557	0.001185
0.9752	0.002486
0.9947	0.001232
1.0142	0.000354
1.0338	0.000503
1.0533	0.000283
1.0728	0.000546
1.0923	0.000617
1.1118	0.000208
1.1313	0.000134
1.1508	0.000112
1.1703	0.000039
1.1898	0.000032
1.2093	0.000008
1.2288	0.000000
1.2483	0.000008
1.2678	0.000029
1.2873	0.000033
1.3068	0.000088
1.3263	0.000098
1.3458	0.000144
1.3653	0.000401
1.3848	0.000333
1.4043	0.000162
1.4238	0.000271
1.4434	0.000179
1.4629	0.000584
1.4824	0.001106
1.5019	0.000494
1.5214	0.000167
1.5409	0.000253
1.5604	0.000169
1.5799	0.001124
1.5994	0.001369
1.6189	0.000241
1.6384	0.000183
1.6579	0.000175
1.6774	0.000197
1.6969	0.001291
1.7164	0.000896
1.7359	0.000005
1.7554	0.000470
1.7749	0.000182
1.7944	0.000212
1.8139	0.000920
1.8334	0.000236
1.8530	0.000231
1.8725	0.000868
1.8920	0.000192
1.9115	0.000159
1.9310	0.000394
1.9505	0.000004
1.9700	0.000694
1.9895	0.000962
2.0090	0.000141
2.0285	0.000120
2.0480	0.000121
2.0675	0.000153
2.0870	0.000837
2.1065	0.000660
2.1260	0.000095
2.1455	0.000137
2.1650	0.000087
2.1845	0.000247
2.2040	0.000531
2.2235	0.000269
2.2430	0.000079
2.2626	0.000115
2.2821	0.000066
2.3016	0.000130
2.3211	0.000150
2.3406	0.000051
2.3601	0.000034
2.3796	0.000029
2.3991	0.000010
2.4186	0.000009
2.4381	0.000002
2.4576	0.000000
2.4771	0.000002
2.4966	0.000008
2.5161	0.000010
2.5356	0.000026
2.5551	0.000029
2.5746	0.000044
2.5941	0.000124
2.6136	0.000104
2.6331	0.000052
2.6526	0.000087
2.6722	0.000058
2.6917	0.000193
2.7112	0.000371
2.7307	0.000168
